Mina Kian_present.wav
9.990 0.045 tɕʰ
10.080 0.045 ɪ
10.110 0.045 m
10.200 0.045 p
10.290 0.045 æ
10.410 0.045 n
10.470 0.045 ɲ
10.500 0.045 j
10.530 0.045 ə
10.590 0.045 n
10.680 0.045 t
10.710 0.045 ə
10.800 0.045 s
10.860 0.045 ə
10.980 0.045 f
11.070 0.045 ɔ
11.100 0.045 ɹ
11.160 0.045 tʰ
11.280 0.045 k
11.370 0.045 ɑ
11.490 0.045 l
11.580 0.045 ɪ
11.670 0.045 dʒ
11.790 0.045 s
11.910 0.045 y
12.000 0.045 d
12.030 0.045 ə
12.090 0.045 n
12.180 0.045 s
12.240 0.045 w
12.270 0.045 ʌ
12.360 0.045 v
12.510 0.045 e
12.540 0.045 j
12.660 0.045 ɾʲ
12.720 0.045 i
12.840 0.045 e
12.900 0.045 j
13.050 0.045 dʒ
13.200 0.045 k̟ʲ
13.260 0.045 i
14.160 0.045 a
14.190 0.045 j
14.250 0.045 æ
14.310 0.045 m
14.400 0.045 d
14.430 0.045 ɪ
14.520 0.045 z
14.580 0.045 a
14.640 0.045 j
14.730 0.045 ɳ
14.820 0.045 ə
14.910 0.045 k
14.970 0.045 ə
15.000 0.045 m
15.090 0.045 p
15.150 0.045 ʁ
15.210 0.045 i
15.270 0.045 tʰ
15.360 0.045 ɹ
15.420 0.045 æ
15.540 0.045 g
15.570 0.045 j
15.630 0.045 ə
15.660 0.045 l
15.780 0.045 ɹ̩
15.900 0.045 s
15.990 0.045 ð
16.050 0.045 æ
16.110 0.045 ɾ
16.200 0.045 i
16.320 0.045 s
16.410 0.045 ɛ
16.530 0.045 ʃ
16.620 0.045 ə
16.650 0.045 n
16.770 0.045 s
16.830 0.045 w
16.860 0.045 ɑ
16.920 0.045 z
16.980 0.045 ð
17.010 0.045 ə
17.130 0.045 s
17.190 0.045 t
17.280 0.045 y
17.370 0.045 d
17.430 0.045 ə
17.490 0.045 n
17.580 0.045 æ
17.640 0.045 n
17.670 0.045 d
17.760 0.045 ɛ
17.790 0.045 n
17.910 0.045 k
18.030 0.045 ɹ̩
18.150 0.045 ɪ
18.210 0.045 dʒ
18.330 0.045 ð
18.390 0.045 ɛ
18.450 0.045 m
18.540 0.045 t
18.600 0.045 ə
18.660 0.045 k
18.720 0.045 ə
18.750 0.045 m
18.840 0.045 p
18.900 0.045 l
18.960 0.045 i
19.080 0.045 tʰ
19.170 0.045 s
19.230 0.045 f
19.320 0.045 ɔ
19.410 0.045 ɹ
19.710 0.045 k
19.800 0.045 æ
20.100 0.045 s
20.190 0.045 k
20.250 0.045 t
20.280 0.045 s
21.030 0.045 l
21.090 0.045 ɒ
21.210 0.045 l
21.240 0.045 i
21.330 0.045 t
21.420 0.045 ɛ
21.480 0.045 l
21.600 0.045 j
21.630 0.045 u
21.780 0.045 ə
21.870 0.045 l
21.930 0.045 ɪ
21.990 0.045 tʰ
22.020 0.045 ə
22.080 0.045 l
22.170 0.045 b̥
22.230 0.045 ɪ
22.320 0.045 tʰ
22.470 0.045 m
22.500 0.045 ɔ
22.590 0.045 ɹ
22.650 0.045 ə
22.710 0.045 b̥
22.770 0.045 a
22.860 0.045 w
22.920 0.045 tʰ
23.010 0.045 n
23.070 0.045 i
23.940 0.045 a
23.970 0.045 j
24.030 0.045 æ
24.090 0.045 m
24.180 0.045 ə
24.300 0.045 θ
24.390 0.045 ɹ
24.450 0.045 i
24.600 0.045 ð
24.660 0.045 i
24.810 0.045 p
24.870 0.045 ɹ
24.930 0.045 ɛ
24.960 0.045 n
25.050 0.045 t
25.110 0.045 ə
25.170 0.045 v
25.230 0.045 ɹ
25.290 0.045 o
25.350 0.045 w
25.410 0.045 b̞
25.470 0.045 ɑ
25.620 0.045 l̪
25.710 0.045 ʌ
25.740 0.045 v
25.800 0.045 ð
25.860 0.045 ə
26.010 0.045 s
26.070 0.045 ɑ
26.220 0.045 f
26.280 0.045 t
26.370 0.045 k
26.430 0.045 ɹ
26.490 0.045 ø
26.610 0.045 ɕ
26.670 0.045 i
26.730 0.045 e
26.760 0.045 j
26.820 0.045 ɾʲ
26.880 0.045 ɪ
26.940 0.045 k
27.030 0.045 s
27.120 0.045 t
27.210 0.045 ɪ
27.330 0.045 ɹ
27.390 0.045 i
27.540 0.045 ɹ̩
28.350 0.045 æ
28.380 0.045 j
28.410 0.045 n
28.530 0.045 i
28.710 0.045 s
28.800 0.045 i
28.890 0.045 m
28.980 0.045 ʌ
29.040 0.045 v
29.130 0.045 ʌ
29.190 0.045 n
29.220 0.045 d
29.280 0.045 ɹ̩
29.370 0.045 g
29.430 0.045 ɹ
29.490 0.045 æ
29.640 0.045 dʒ
29.730 0.045 ə
29.880 0.045 tʰ
29.970 0.045 s
30.030 0.045 t
30.090 0.045 u
30.180 0.045 d
30.240 0.045 ə
30.270 0.045 n
30.360 0.045 s
30.420 0.045 t̪
30.480 0.045 ɪ
30.540 0.045 l
30.630 0.045 tʰ
30.720 0.045 s
30.810 0.045 ɪ
30.870 0.045 s
30.960 0.045 t
31.020 0.045 i
31.140 0.045 n
31.230 0.045 w
31.290 0.045 ɔ
31.350 0.045 ɹ
31.530 0.045 m
31.590 0.045 a
31.620 0.045 j
31.770 0.045 s
31.830 0.045 ɪ
31.890 0.045 v
31.950 0.045 ə
31.980 0.045 l
32.040 0.045 ɪ
32.100 0.045 ŋ
32.190 0.045 z
32.250 0.045 f
32.280 0.045 ɔ
32.310 0.045 ɹ
32.370 0.045 ð
32.430 0.045 ɛ
32.460 0.045 ɹ
32.580 0.045 f
32.670 0.045 ɹ̩
32.790 0.045 s
32.850 0.045 t
32.910 0.045 θ
32.970 0.045 ɹ
33.090 0.045 i
33.210 0.045 ɹ
33.270 0.045 i
33.390 0.045 x
33.450 0.045 ə
33.510 0.045 n
33.600 0.045 d
33.660 0.045 uə
33.720 0.045 ɹ
33.810 0.045 n
33.990 0.045 s
34.080 0.045 ʌ
34.140 0.045 ɾ
34.200 0.045 i
34.320 0.045 w
34.380 0.045 ɪ
34.410 0.045 ð
34.500 0.045 j
34.560 0.045 u
34.710 0.045 ʌ
34.860 0.045 s
34.980 0.045 i
35.160 0.045 s
35.220 0.045 t
35.280 0.045 u
35.370 0.045 d
35.430 0.045 ə
35.490 0.045 n
35.580 0.045 s
35.640 0.045 ɪ
35.670 0.045 n
35.760 0.045 ð
35.790 0.045 ə
35.880 0.045 s
35.970 0.045 p
36.000 0.045 ɹ
36.060 0.045 ɪ
36.120 0.045 ŋ
36.240 0.045 ʌ
36.270 0.045 v
36.390 0.045 t
36.480 0.045 w
36.540 0.045 ɛ
36.570 0.045 n
36.630 0.045 tʰ
36.660 0.045 i
36.810 0.045 s
36.870 0.045 w
36.930 0.045 ɛ
36.960 0.045 n
37.050 0.045 i
37.170 0.045 θ
37.230 0.045 ɹ
37.350 0.045 i

Amy O'Connell_present.wav
0.150 0.045 ʔ
0.210 0.045 ɪ
0.450 0.045 z
0.570 0.045 ɛ
0.630 0.045 n
0.780 0.045 iː
0.960 0.045 d
1.050 0.045 æ
1.320 0.045 s
1.410 0.045 k
2.190 0.045 æ
2.310 0.045 z
2.400 0.045 e
2.430 0.045 j
2.490 0.045 n
2.610 0.045 i
2.730 0.045 d͡ʒ
2.790 0.045 uː
2.910 0.045 ɪ
2.970 0.045 n
3.030 0.045 d
3.090 0.045 ʌ
3.300 0.045 s
3.720 0.045 ɹ
3.780 0.045 ɛ
3.900 0.045 z
3.990 0.045 ɪ
4.080 0.045 ɹ
4.140 0.045 ə
4.200 0.045 b̥
4.260 0.045 a
4.290 0.045 w
4.350 0.045 tʰ
4.410 0.045 ð
4.470 0.045 ə
4.710 0.045 s
4.800 0.045 a
4.860 0.045 j
4.920 0.045 ɪ
4.980 0.045 ŋ
5.070 0.045 w
5.130 0.045 ɹ̩
5.310 0.045 k
5.400 0.045 ʃ
5.490 0.045 i
5.580 0.045 æ
5.700 0.045 z
5.820 0.045 æ
5.850 0.045 n
5.970 0.045 d
6.030 0.045 iː
6.240 0.045 ɪ
6.300 0.045 ŋ
7.050 0.045 æ
7.140 0.045 n
7.290 0.045 i
7.800 0.045 æ
7.950 0.045 s
8.010 0.045 t
8.070 0.045 e
8.130 0.045 j
8.250 0.045 z
8.310 0.045 ə
8.430 0.045 z
8.460 0.045 j
8.580 0.045 ɔ
8.700 0.045 ɹ
8.910 0.045 z

Leticia Pinto Alva.wav
0.180 0.045 n
0.240 0.045 a
0.390 0.045 w
0.480 0.045 ɻ̩
0.540 0.045 ɹ
0.630 0.045 a
0.720 0.045 j
0.810 0.045 ɾʲ
0.870 0.045 ɪ
0.930 0.045 ŋ
1.140 0.045 l
1.200 0.045 uː
1.320 0.045 tɕʰ
1.410 0.045 iː
1.500 0.045 s
1.590 0.045 ə
1.680 0.045 z
1.770 0.045 d
1.860 0.045 ɛ
2.100 0.045 s
2.220 0.045 k
2.910 0.045 ð
2.970 0.045 ʌ
3.090 0.045 tʲ
3.150 0.045 i
3.270 0.045 z
3.360 0.045 ə
3.540 0.045 z
3.600 0.045 ə
3.720 0.045 v
3.780 0.045 ɛ
3.870 0.045 ɾ
3.990 0.045 h
4.050 0.045 ɪ
4.140 0.045 ɹ
4.290 0.045 p
4.380 0.045 i
4.800 0.045 s
4.860 0.045 i
5.070 0.045 s
5.130 0.045 t
5.220 0.045 ɨ
5.520 0.045 w
5.580 0.045 ɹ̩
5.730 0.045 k
5.790 0.045 ɪ
5.820 0.045 ŋ
5.940 0.045 ɪ
6.030 0.045 tʰ
6.120 0.045 ɪ
6.150 0.045 n
6.240 0.045 h
6.270 0.045 ɹ̩
6.390 0.045 æ
6.540 0.045 k
6.630 0.045 ʃ
6.690 0.045 ə
6.750 0.045 n
6.870 0.045 æ
6.930 0.045 d
7.020 0.045 f
7.080 0.045 l
7.140 0.045 æ
7.260 0.045 m
7.350 0.045 ɹ̩
7.410 0.045 ɛ
7.440 0.045 z
7.530 0.045 l
7.620 0.045 æ
8.610 0.045 h
8.670 0.045 ɹ̩
8.820 0.045 ɹ
8.880 0.045 i
9.030 0.045 s
9.120 0.045 ɻ̩
9.270 0.045 tʂʰ
9.360 0.045 ʁ
9.420 0.045 o
9.480 0.045 l̪
9.540 0.045 g
9.600 0.045 ə
9.690 0.045 s
9.750 0.045 ə
9.840 0.045 z
9.930 0.045 m
9.990 0.045 ɔ
10.050 0.045 l̪
10.140 0.045 t̪ʰ
10.200 0.045 i
10.290 0.045 m
10.350 0.045 o
10.440 0.045 ɾ
10.500 0.045 ə
10.530 0.045 l
10.710 0.045 ə
10.860 0.045 a
10.980 0.045 j
11.100 0.045 z
11.160 0.045 f
11.190 0.045 h
11.220 0.045 ɹ
11.310 0.045 h
11.400 0.045 ɛ
11.490 0.045 l
11.580 0.045 θ
11.670 0.045 k
11.760 0.045 ɛ
11.880 0.045 ɹ
12.660 0.045 h
12.720 0.045 ɹ̩
12.870 0.045 k
12.960 0.045 ɹ̩
13.140 0.045 n
13.230 0.045 t
13.290 0.045 ɹ
13.350 0.045 a
13.410 0.045 j
13.500 0.045 g
13.560 0.045 ɛ
13.680 0.045 t
13.740 0.045 ɪ
13.830 0.045 z
13.890 0.045 ð
13.920 0.045 ə
14.010 0.045 x
14.040 0.045 h
14.100 0.045 æ
14.160 0.045 v
14.220 0.045 t̪
14.280 0.045 ɪ
14.340 0.045 n
14.490 0.045 ɹ̩
14.610 0.045 l
14.700 0.045 i
14.820 0.045 s
14.880 0.045 a
14.940 0.045 j
15.030 0.045 ə
15.060 0.045 n
15.120 0.045 z
15.150 0.045 ʌ
15.210 0.045 v
15.270 0.045 d
15.330 0.045 ɪ
15.420 0.045 m
15.480 0.045 ɛ
15.510 0.045 n
15.630 0.045 ʃ
15.720 0.045 ə
15.810 0.045 n
15.930 0.045 ð
16.110 0.045 ɛ
16.170 0.045 l
16.260 0.045 d
16.320 0.045 ɹ̩
16.440 0.045 l
16.500 0.045 i
16.590 0.045 j
16.650 0.045 u
16.770 0.045 z
16.830 0.045 ɪ
16.890 0.045 ŋ
17.010 0.045 ð
17.040 0.045 ə
17.160 0.045 ʃ
17.220 0.045 i
17.310 0.045 ɪ
17.340 0.045 n
17.460 0.045 l
17.520 0.045 ɹ̩
17.610 0.045 n
17.700 0.045 ɪ
17.730 0.045 ŋ
17.880 0.045 t
18.000 0.045 u
18.150 0.045 l
18.330 0.045 z
18.990 0.045 ð
19.050 0.045 ə
19.140 0.045 p
19.200 0.045 ɹ
19.260 0.045 a
19.410 0.045 ʐ
19.500 0.045 ə
19.620 0.045 s
19.710 0.045 k
19.800 0.045 ɹ̩
19.890 0.045 ə
19.920 0.045 n
19.980 0.045 t
20.040 0.045 s
20.100 0.045 t
20.160 0.045 e
20.190 0.045 j
20.280 0.045 d
20.340 0.045 ɪ
20.400 0.045 z
20.490 0.045 k
20.580 0.045 ə
20.670 0.045 l
20.730 0.045 ɛ
20.820 0.045 k
20.880 0.045 t
20.940 0.045 ɪ
21.000 0.045 n
21.090 0.045 g
21.150 0.045 e
21.180 0.045 j
21.270 0.045 ɾ
21.330 0.045 ə
21.450 0.045 ɪ
21.510 0.045 ð
21.570 0.045 a
21.600 0.045 w
21.630 0.045 ɹ̩
21.720 0.045 k
21.810 0.045 ə
21.900 0.045 l
21.960 0.045 æ
22.110 0.045 b
22.170 0.045 uə
22.350 0.045 e
22.410 0.045 j
22.500 0.045 ɾ
22.560 0.045 ɹ̩
22.680 0.045 z
22.740 0.045 ʌ
22.770 0.045 v
22.860 0.045 ð
22.890 0.045 ə
22.980 0.045 j
23.040 0.045 iː
23.130 0.045 l
23.190 0.045 ə
23.310 0.045 s
23.430 0.045 i
23.550 0.045 ɒ
23.640 0.045 l
23.730 0.045 s
23.820 0.045 h
23.880 0.045 æ
24.000 0.045 m
24.090 0.045 ə
24.150 0.045 d
24.210 0.045 æ
24.300 0.045 z
24.390 0.045 i
24.540 0.045 z
24.630 0.045 ɹ
24.720 0.045 i
24.870 0.045 z
24.930 0.045 ɹ̩
25.200 0.045 s
25.290 0.045 ɛ
25.380 0.045 n
25.470 0.045 ɹ̩

A'di Dust_present.wav
0.150 0.045 p
0.180 0.045 ɹ
0.330 0.045 z
0.390 0.045 ɛ
0.450 0.045 n
0.540 0.045 tʲ
0.600 0.045 ɪ
0.630 0.045 ŋ
0.720 0.045 l
0.780 0.045 a
0.930 0.045 ɾ
0.990 0.045 i
1.260 0.045 f
1.350 0.045 e
1.410 0.045 j
1.650 0.045 s
2.370 0.045 w
2.430 0.045 ɹ̩
2.640 0.045 i
2.790 0.045 h
2.820 0.045 ɹ̩
2.940 0.045 t
3.000 0.045 ə
3.090 0.045 d
3.150 0.045 ɛ
3.270 0.045 l
3.330 0.045 ð
3.390 0.045 ɪ
3.420 0.045 n
3.510 0.045 t
3.570 0.045 u
3.690 0.045 a
3.840 0.045 j
4.050 0.045 z
4.170 0.045 h
4.260 0.045 ɹ̩
4.380 0.045 ə
4.440 0.045 n
4.530 0.045 ɪ
4.560 0.045 n
4.650 0.045 d
4.710 0.045 ɛ
4.860 0.045 v
4.920 0.045 ɹ̩
5.130 0.045 s
5.760 0.045 ʔ
5.850 0.045 ɒ
6.030 0.045 ɾ
6.090 0.045 i
6.570 0.045 ð
6.630 0.045 ə
6.750 0.045 f
6.810 0.045 l
6.870 0.045 ɔ
6.960 0.045 ɹ
7.080 0.045 æ
7.200 0.045 z
7.290 0.045 ɔ
7.620 0.045 z

outro.wav
0.120 0.045 ð
0.180 0.045 æ
0.300 0.045 ɾ
0.360 0.045 ɪ
0.480 0.045 z
0.540 0.045 i
0.690 0.045 æ
0.750 0.045 n
0.810 0.045 d
0.870 0.045 ə
0.960 0.045 z
1.020 0.045 ə
1.140 0.045 t͡ʃʲ
1.230 0.045 ɔ
1.350 0.045 ɹ
2.130 0.045 ð
2.220 0.045 ɪ
2.310 0.045 s
2.400 0.045 ɛ
2.460 0.045 n
2.550 0.045 ɹ̩
2.700 0.045 æ
2.790 0.045 k
2.850 0.045 ʃ
2.970 0.045 ə
3.000 0.045 n
3.090 0.045 w
3.120 0.045 ɑ
3.180 0.045 z
3.270 0.045 p
3.360 0.045 ɯ
3.420 0.045 tʰ
3.510 0.045 t
3.540 0.045 ə
3.600 0.045 g
3.660 0.045 ɛ
3.750 0.045 ð
3.810 0.045 ɹ̩
3.930 0.045 b̥
3.990 0.045 a
4.050 0.045 j
4.170 0.045 ʌ
4.230 0.045 n
4.290 0.045 d
4.350 0.045 ɹ̩
4.440 0.045 g
4.470 0.045 ɹ
4.530 0.045 æ
4.680 0.045 d͡ʒ
4.770 0.045 ə
5.010 0.045 s
5.070 0.045 t
5.130 0.045 y
5.220 0.045 d
5.280 0.045 ə
5.340 0.045 n
5.430 0.045 s
5.520 0.045 t
5.580 0.045 e
5.610 0.045 j
5.700 0.045 l
5.760 0.045 ə
5.880 0.045 d͡ʒ
5.940 0.045 æ
6.030 0.045 l
6.150 0.045 d
6.210 0.045 a
6.330 0.045 j
6.420 0.045 ə
6.480 0.045 l
6.570 0.045 æ
6.630 0.045 n
6.660 0.045 d
6.750 0.045 d͡ʒ
6.810 0.045 ʌ
6.960 0.045 s
7.020 0.045 ɪ
7.110 0.045 s
7.170 0.045 l
7.260 0.045 uː
7.470 0.045 l
8.160 0.045 tɕʰ
8.250 0.045 æ
8.340 0.045 ŋ
8.460 0.045 k
8.520 0.045 j
8.550 0.045 iː
9.510 0.045 ɒ
9.630 0.045 w
9.690 0.045 ɪ
9.720 0.045 l
9.810 0.045 h
9.840 0.045 æ
9.960 0.045 n
10.020 0.045 d
10.050 0.045 ð
10.080 0.045 ə
10.170 0.045 ɹ
10.230 0.045 æ
10.380 0.045 s
10.470 0.045 ә
10.500 0.045 v
10.560 0.045 ð
10.620 0.045 ə
10.710 0.045 t͡ʃʲ
10.830 0.045 ɔ
10.890 0.045 ɹ
10.920 0.045 ɾ
11.010 0.045 b̥
11.070 0.045 æ
11.280 0.045 t
11.340 0.045 ə
11.580 0.045 h
11.670 0.045 i
11.790 0.045 m
11.850 0.045 ə
11.970 0.045 n

intro.wav
0.150 0.045 h
0.270 0.045 a
0.420 0.045 j
1.020 0.045 a
1.050 0.045 j
1.110 0.045 æ
1.140 0.045 ɛ
1.170 0.045 m
1.260 0.045 g
1.320 0.045 l
1.380 0.045 ɑ
1.590 0.045 s
2.250 0.045 æ
2.280 0.045 n
2.340 0.045 d
2.400 0.045 a
2.460 0.045 j
2.580 0.045 ʀ
2.610 0.045 ɪ
2.640 0.045 l̪
2.670 0.045 l
2.730 0.045 b̥
2.790 0.045 i
2.880 0.045 h
2.940 0.045 ɪ
3.000 0.045 v
3.060 0.045 ɪ
3.090 0.045 ŋ
3.240 0.045 i
3.330 0.045 v
3.390 0.045 ə
3.480 0.045 z
3.540 0.045 ɪ
3.570 0.045 n
3.630 0.045 tʰ
3.660 0.045 h
3.690 0.045 ɹ̩
3.810 0.045 æ
3.930 0.045 k
3.990 0.045 s
4.050 0.045 ə
4.080 0.045 n
4.200 0.045 l
4.260 0.045 a
4.320 0.045 j
4.410 0.045 b
4.530 0.045 t
4.650 0.045 ɔ
4.740 0.045 ɹ
4.770 0.045 ɾ
4.860 0.045 ə
4.950 0.045 l
5.010 0.045 ɔ
5.130 0.045 ŋ
5.220 0.045 w
5.250 0.045 ɪ
5.310 0.045 ð
5.430 0.045 æ
5.610 0.045 s
5.670 0.045 t
5.760 0.045 ɻ̩
5.880 0.045 ə
6.660 0.045 w
6.720 0.045 ɛ
6.780 0.045 l̪
6.840 0.045 x
6.900 0.045 ə
6.960 0.045 m
7.080 0.045 t
7.140 0.045 ɨ
7.200 0.045 ð
7.260 0.045 i
7.380 0.045 j
7.410 0.045 u
7.560 0.045 ɛ
7.770 0.045 s
7.860 0.045 i
8.040 0.045 æ
8.070 0.045 n
8.190 0.045 ɻ̩
8.340 0.045 ɑ
8.490 0.045 k
8.520 0.045 ʃ
8.580 0.045 ə
8.670 0.045 n
8.790 0.045 l
8.850 0.045 a
9.900 0.045 ə
10.020 0.045 l
10.080 0.045 æ
10.230 0.045 d
10.320 0.045 ɪ
10.410 0.045 z
10.500 0.045 l
10.560 0.045 ɛ
10.650 0.045 d
10.710 0.045 b̥
10.770 0.045 a
10.800 0.045 j
10.920 0.045 p
10.950 0.045 ɹ
10.980 0.045 ə
11.070 0.045 f
11.130 0.045 ɛ
11.250 0.045 s
11.340 0.045 ɹ̩
11.460 0.045 m
11.520 0.045 a
11.610 0.045 j
11.700 0.045 æ
11.730 0.045 n
11.790 0.045 ð
11.850 0.045 ə
11.970 0.045 t
12.060 0.045 a
12.150 0.045 ɹ
12.240 0.045 ɪ
12.420 0.045 k
12.720 0.045 ð
12.750 0.045 ə
12.900 0.045 tɕʰ
13.020 0.045 ɛ
13.110 0.045 ɹ
13.200 0.045 d
13.260 0.045 æ
13.290 0.045 n
13.410 0.045 d
13.470 0.045 ɪ
13.560 0.045 s
13.650 0.045 ɪ
13.740 0.045 ŋ
13.770 0.045 g
13.830 0.045 w
13.860 0.045 ɪ
13.950 0.045 ʃ
14.040 0.045 p
14.070 0.045 ɹ
14.100 0.045 ə
14.220 0.045 f
14.280 0.045 ɛ
14.430 0.045 s
14.550 0.045 ɹ̩
14.640 0.045 ʌ
14.700 0.045 v
14.790 0.045 k
14.850 0.045 ə
14.880 0.045 m
15.000 0.045 p
15.030 0.045 j
15.090 0.045 u
15.180 0.045 tʰ
15.240 0.045 ɹ̩
15.390 0.045 s
15.480 0.045 a
15.570 0.045 j
15.660 0.045 ə
15.750 0.045 n
15.870 0.045 z
16.260 0.045 l
16.290 0.045 ɛ
16.380 0.045 ð
16.440 0.045 ə
16.530 0.045 p
16.590 0.045 ʁ
16.620 0.045 o
16.680 0.045 j
16.740 0.045 n
16.770 0.045 tʰ
16.800 0.045 m
16.860 0.045 ə
16.890 0.045 n
16.980 0.045 t̪ʰ
17.040 0.045 æ
17.100 0.045 n
17.250 0.045 ø
17.340 0.045 ɾ
17.400 0.045 o
17.430 0.045 w
17.580 0.045 s
17.670 0.045 a
17.760 0.045 j
17.850 0.045 ə
17.910 0.045 n
18.000 0.045 s
18.090 0.045 æ
18.120 0.045 n
18.150 0.045 d
18.240 0.045 p
18.360 0.045 i
18.480 0.045 ɾʲ
18.540 0.045 i
18.660 0.045 æ
18.810 0.045 t͡ʃʲ
18.930 0.045 ɻ̩
19.200 0.045 s
20.010 0.045 ʃ
20.100 0.045 i
20.220 0.045 ɹ̩
20.370 0.045 ɪ
20.490 0.045 z
20.550 0.045 ə
20.580 0.045 n
20.670 0.045 ə
20.730 0.045 l
20.820 0.045 i
20.910 0.045 ə
21.030 0.045 s
21.090 0.045 t
21.150 0.045 æ
21.300 0.045 b
21.330 0.045 l
21.510 0.045 s
21.570 0.045 l
21.600 0.045 ɪ
21.660 0.045 l
21.780 0.045 a
21.960 0.045 d
22.020 0.045 ə
22.050 0.045 n
22.200 0.045 a
22.260 0.045 j
22.320 0.045 n
22.410 0.045 tʰ
22.470 0.045 i
22.590 0.045 n
22.650 0.045 a
22.680 0.045 j
22.740 0.045 n
22.770 0.045 tʰ
22.830 0.045 i
22.950 0.045 f
23.040 0.045 a
23.070 0.045 j
23.190 0.045 v
23.250 0.045 æ
23.310 0.045 tʰ
23.400 0.045 d
23.460 0.045 ɹ
23.490 0.045 ɛ
23.550 0.045 n
23.640 0.045 d
23.700 0.045 æ
23.880 0.045 ɕ
23.940 0.045 y
23.970 0.045 u
24.030 0.045 n
24.090 0.045 ə
24.180 0.045 v
24.240 0.045 ɹ̩
24.390 0.045 s
24.480 0.045 ə
24.540 0.045 tʰ
24.600 0.045 i
25.350 0.045 j
25.440 0.045 u
25.530 0.045 k
25.590 0.045 æ
25.620 0.045 n
25.770 0.045 s
25.830 0.045 i
25.950 0.045 ð
26.010 0.045 ə
26.130 0.045 b̥
26.190 0.045 ɪ
26.250 0.045 l
26.340 0.045 v̞ʲ
26.400 0.045 ɪ
26.460 0.045 ŋ
26.520 0.045 ʌ
26.580 0.045 v
26.640 0.045 ð
26.700 0.045 ə
26.790 0.045 ɹ̩
26.940 0.045 ɪ
27.030 0.045 z
27.120 0.045 ə
27.150 0.045 n
27.240 0.045 ə
27.300 0.045 l
27.450 0.045 a
27.600 0.045 b
27.660 0.045 ə
27.690 0.045 n
27.810 0.045 ə
